date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:26:48	2/2	---M--	302	error ('Found')	text/html	date:Thu,%2031%20Mar%202022%2015:26:48%20GMT	https://rds3.northsouth.edu/index.php/students/landing	J:/AUB/rds3.northsouth.edu/index.php/students/landing.0.delayed	(from )
21:26:49	282/282	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2031%20Mar%202022%2015:26:48%20GMT	https://rds3.northsouth.edu/robots.txt		(from )
21:26:49	4299/4299	---M-Z	200	added ('OK')	text/html	date:Thu,%2031%20Mar%202022%2015:26:48%20GMT	https://rds3.northsouth.edu/index.php/	J:/AUB/rds3.northsouth.edu/index.php/index.html	(from )
21:26:49	115817/115817	---M-Z	200	added ('OK')	text/css	etag:%221c469-58c9c80d85000-gzip%22	https://rds3.northsouth.edu/assets/css/bootstrap.min.css	J:/AUB/rds3.northsouth.edu/assets/css/bootstrap.min.css	(from https://rds3.northsouth.edu/index.php/)
21:26:49	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-58c9c80d85000-gzip%22	https://rds3.northsouth.edu/assets/css/font-awesome.min.css	J:/AUB/rds3.northsouth.edu/assets/css/font-awesome.min.css	(from https://rds3.northsouth.edu/index.php/)
21:26:49	3901/3901	---M-Z	200	added ('OK')	text/css	etag:%22f3d-58c9c80d85000-gzip%22	https://rds3.northsouth.edu/assets/css/login-style.css	J:/AUB/rds3.northsouth.edu/assets/css/login-style.css	(from https://rds3.northsouth.edu/index.php/)
21:26:49	84384/84384	---M-Z	200	added ('OK')	application/javascript	etag:%22149a0-58c9c80e79240-gzip%22	https://rds3.northsouth.edu/assets/js/jquery-2.1.4.min.js	J:/AUB/rds3.northsouth.edu/assets/js/jquery-2.1.4.min.js	(from https://rds3.northsouth.edu/index.php/)
21:26:50	1107/1107	---M-Z	200	added ('OK')	application/javascript	etag:%22453-58c9c80e79240-gzip%22	https://rds3.northsouth.edu/assets/js/login.js	J:/AUB/rds3.northsouth.edu/assets/js/login.js	(from https://rds3.northsouth.edu/index.php/)
21:26:50	30132/30132	---M--	200	added ('OK')	image/png	etag:%2275b4-58c9c80e79240%22	https://rds3.northsouth.edu/assets/images/logo-wide.png	J:/AUB/rds3.northsouth.edu/assets/images/logo-wide.png	(from https://rds3.northsouth.edu/index.php/)
21:26:50	4310/4310	---M--	200	added ('OK')	image/png	etag:%2210d6-58c9c80e79240%22	https://rds3.northsouth.edu/images/login.png	J:/AUB/rds3.northsouth.edu/images/login.png	(from https://rds3.northsouth.edu/index.php/)
21:26:50	2/2	---M--	302	error ('Found')	text/html	date:Thu,%2031%20Mar%202022%2015:26:50%20GMT	https://rds3.northsouth.edu/index.php/common/forgetPassword	J:/AUB/rds3.northsouth.edu/index.php/common/forgetPassword	(from https://rds3.northsouth.edu/index.php/)
